model,brand,firm,year,price,price_adj,engine,horsepower,fuelcons,clearance,trunk,body,country,quantity,body1,body2,body3,body4,russia,tariff,firm_id,firm1,firm2,firm3,firm4,firm5,firm6,firm7,firm8,firm9,national,brand1,brand2,brand3,brand4,brand5,brand6,brand7,brand8,brand9,brand10,brand11,brand12,brand13,brand14,brand15,brand16,y2013,y2014,y2015,y2016,y2017,time,share,sumshare,logshare,share_group,share_ingroup,logshare_ingroup,engine_yr,engine_fm,engine_iv,horsepower_yr,horsepower_fm,horsepower_iv,fuelcons_yr,fuelcons_fm,fuelcons_iv,clearance_yr,clearance_fm,clearance_iv,trunk_yr,trunk_fm,trunk_iv,engine_gp,engine_iv_gp,horsepower_gp,horsepower_iv_gp,fuelcons_gp,fuelcons_iv_gp,clearance_gp,clearance_iv_gp,trunk_gp,trunk_iv_gp,el,id,share1,share2,share3,share4,share5,share6,share7,share8,share9,share10,share11,share12,share13,share14,share15,share16,share17,share18,share19,share20,share21,share22,share23,share24,share25,delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9,delta10,delta11,delta12,delta13,delta14,delta15,delta16,delta17,delta18,delta19,delta20,delta21,delta22,delta23,delta24,delta25,markup,mc,margins,counter_tariff
Corolla,Toyota,Toyota Group,2014,891000,824618.25,1.3,99,5.6,150,452,sedan,Turkey,27704,0,0,1,0,0,.25,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,.0027703999,.1278999,-5.7519126,.086123303,.032167833,-3.4367883,40.799999,4,35.5,2721,294,2328,180.7,16,159.09999,4049,357,3542,11403,1012,9939,29.700001,8.499999,2108,415,124.9,44.599998,2879,870,8501,1998,2.3448474,22,.002786,.002964,.0043441001,.0114644,.0034814,.0029758001,.0093647996,.0030606,.0024953,.0028969001,.0042932001,.015281,.0065608998,.0065155998,.0047817999,.0046224999,.0031709999,.0076138,.0060434001,.0036849,.0034117,.0027703999,.0038918999,.0035292001,.0058952998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.6478678e-11,8.5499545e-09,-8.7243122e-11,0,0,330350.94,560649.06,.37076423,.30000001
Rav 4,Toyota,Toyota Group,2014,1288000,1192040.8,2,146,7.7,197,506,SUV,Japan,38919,1,0,0,0,0,.25,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,.0038918999,.1278999,-5.4120069,.086123303,.045189861,-3.0968826,40.799999,3.3000002,35.5,2721,247,2328,180.7,13.900001,159.09999,4049,310,3542,11403,958,9939,29,7.7999992,2061,368,122.8,42.499996,2832,823,8447,1944,3.3858216,23,.002786,.002964,.0043441001,.0114644,.0034814,.0029758001,.0093647996,.0030606,.0024953,.0028969001,.0042932001,.015281,.0065608998,.0065155998,.0047817999,.0046224999,.0031709999,.0076138,.0060434001,.0036849,.0034117,.0027703999,.0038918999,.0035292001,.0058952998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0743841e-10,-8.7243122e-11,1.1975788e-08,0,0,330350.97,957649,.25648367,.30000001
Octavia a7,Skoda,Volkswagen AG,2014,816000,755205.94,1.6,110,6.4,155,568,hatchback,Russia,35292,0,1,0,0,1,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,.0035292001,.1278999,-5.5098329,.086123303,.040978458,-3.1947088,40.799999,1.6,37.599998,2721,105,2506,180.7,6.4000001,167.89999,4049,70,3824,11403,460,10375,29.4,8.1999989,2097,404,124.1,43.799995,2874,865,8385,1882,2.1458356,24,.002786,.002964,.0043441001,.0114644,.0034814,.0029758001,.0093647996,.0030606,.0024953,.0028969001,.0042932001,.015281,.0065608998,.0065155998,.0047817999,.0046224999,.0031709999,.0076138,.0060434001,.0036849,.0034117,.0027703999,.0038918999,.0035292001,.0058952998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0870080e-08,-1.6834850e-10,329778.41,486221.59,.4041402,0
Polo,Volkswagen,Volkswagen AG,2014,610500,565016.19,1.6,105,6.4,70,460,sedan,Russia,58953,0,0,1,0,1,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,.0058952998,.1278999,-4.9967489,.086123303,.068451852,-2.6816247,40.799999,1.6,37.599998,2721,110,2506,180.7,6.4000001,167.89999,4049,155,3824,11403,568,10375,29.4,8.1999989,2102,409,124.1,43.799995,2959,950,8493,1990,1.6016202,25,.002786,.002964,.0043441001,.0114644,.0034814,.0029758001,.0093647996,.0030606,.0024953,.0028969001,.0042932001,.015281,.0065608998,.0065155998,.0047817999,.0046224999,.0031709999,.0076138,.0060434001,.0036849,.0034117,.0027703999,.0038918999,.0035292001,.0058952998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.6834849e-10,1.8044897e-08,329778.41,280721.59,.54017758,0
Niva,Chevrolet,General Motors,2015,519000,422642.47,1.7,80,10.8,200,320,SUV,Russia,31367,1,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,.0031367,.095033899,-5.6647263,.031016901,.10112873,-2.2913609,43,4.7683717e-08,41.299999,2756,0,2676,187,1.9073487e-07,176.2,4183,0,3983,12551,0,12231,10.8,28.799999,562,2034,50.900002,114.5,1030,2753,3330,8581,1.3653522,1,.0031367,.0115868,.0019086,.0019268,.0097097,.0020751001,.0017681,.0016294,.0023643,.0035312001,.0120182,.0035869,.0038982001,.0028506999,.0025977001,.0020502,.0043922998,.0041311001,.0030221001,.0030135999,.0027101999,.0019950001,.0021373001,.0024546999,.0045389999,9.5758148e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327564.81,191435.19,.63114607,0
Solaris,Hyundai,Hyundai Motor,2015,593900,483636.53,1.4,107,5.9,160,470,sedan,Russia,115868,0,0,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,.0115868,.095033899,-4.3580308,.064016998,.18099569,-1.709282,43,6.7999997,34.799999,2756,506,2143,187,29.1,152,4183,552,3471,12551,2035,10046,29.1,11.1,2007,535,119.4,55.799995,2793,1070,8431,3180,1.5491505,2,.0031367,.0115868,.0019086,.0019268,.0097097,.0020751001,.0017681,.0016294,.0023643,.0035312001,.0120182,.0035869,.0038982001,.0028506999,.0025977001,.0020502,.0043922998,.0041311001,.0030221001,.0030135999,.0027101999,.0019950001,.0021373001,.0024546999,.0045389999,0,3.4679605e-08,-5.8360657e-11,-2.2268068e-10,-1.1221521e-09,-2.3981975e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350729.06,243170.94,.59055239,0
ix35,Hyundai,Hyundai Motor,2015,1079900,879405.81,2,149,8.6,75,591,SUV,Slovakia,19086,1,0,0,0,0,.25,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,.0019086,.095033899,-6.1615276,.064016998,.029813956,-3.5127788,43,6.1999998,34.799999,2756,464,2143,187,26.4,152,4183,637,3471,12551,1914,10046,28.5,10.5,1965,493,116.7,53.099998,2878,1155,8310,3059,2.8444321,3,.0031367,.0115868,.0019086,.0019268,.0097097,.0020751001,.0017681,.0016294,.0023643,.0035312001,.0120182,.0035869,.0038982001,.0028506999,.0025977001,.0020502,.0043922998,.0041311001,.0030221001,.0030135999,.0027101999,.0019950001,.0021373001,.0024546999,.0045389999,0,-2.2057731e-10,5.8967347e-09,-3.6680388e-11,-1.8484304e-10,-3.9503571e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352315.78,727584.25,.32624853,.30000001
Cee'd,Kia,Hyundai Motor,2015,729900,594386.81,1.4,100,6.1,150,380,hatchback,?,19268,0,1,0,0,0,.25,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,.0019268,.095033899,-6.1520367,.064016998,.030098256,-3.503288,43,6.7999997,34.799999,2756,513,2143,187,28.9,152,4183,562,3471,12551,2125,10046,29.1,11.1,2014,542,119.2,55.599998,2803,1080,8521,3270,1.922505,4,.0031367,.0115868,.0019086,.0019268,.0097097,.0020751001,.0017681,.0016294,.0023643,.0035312001,.0120182,.0035869,.0038982001,.0028506999,.0025977001,.0020502,.0043922998,.0041311001,.0030221001,.0030135999,.0027101999,.0019950001,.0021373001,.0024546999,.0045389999,0,-2.2268068e-10,-9.7049495e-12,5.9526148e-09,-1.8660566e-10,-3.9880269e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350729.06,379170.94,.48051658,.30000001
Rio,Kia,Hyundai Motor,2015,574900,468164.09,1.4,107,5.9,160,500,sedan,Russia,97097,0,0,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,.0097097,.095033899,-4.5347719,.064016998,.15167378,-1.8860233,43,6.7999997,34.799999,2756,506,2143,187,29.1,152,4183,552,3471,12551,2005,10046,29.1,11.1,2007,535,119.4,55.799995,2793,1070,8401,3150,1.5024381,5,.0031367,.0115868,.0019086,.0019268,.0097097,.0020751001,.0017681,.0016294,.0023643,.0035312001,.0120182,.0035869,.0038982001,.0028506999,.0025977001,.0020502,.0043922998,.0041311001,.0030221001,.0030135999,.0027101999,.0019950001,.0021373001,.0024546999,.0045389999,0,-1.1221520e-09,-4.8906035e-11,-1.8660568e-10,2.9243186e-08,-2.0096816e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350729.06,224170.94,.61006969,0
Sportage,Kia,Hyundai Motor,2015,1154900,940481.31,2,150,8.5,167,564,SUV,?,20751,1,0,0,0,0,.25,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,.0020751001,.095033899,-6.077888,.064016998,.032414831,-3.4291391,43,6.1999998,34.799999,2756,463,2143,187,26.5,152,4183,545,3471,12551,1941,10046,28.5,10.5,1964,492,116.8,53.199997,2786,1063,8337,3086,3.0414732,6,.0031367,.0115868,.0019086,.0019268,.0097097,.0020751001,.0017681,.0016294,.0023643,.0035312001,.0120182,.0035869,.0038982001,.0028506999,.0025977001,.0020502,.0043922998,.0041311001,.0030221001,.0030135999,.0027101999,.0019950001,.0021373001,.0024546999,.0045389999,0,-2.3981975e-10,-1.0451911e-11,-3.9880269e-11,-2.0096816e-10,6.4077006e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350729.06,804170.94,.30368781,.30000001
Cx-5,Mazda,Mazda Motor Corporation,2015,1299000,1057827.8,2,150,6.2,215,403,SUV,?,17681,1,0,0,0,0,.25,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,.0017681,.095033899,-6.2379918,.064016998,.027619226,-3.5892432,43,0,41,2756,0,2606,187,-1.9073487e-07,180.8,4183,0,3968,12551,0,12148,28.5,10.5,1964,492,119.10001,55.499996,2738,1015,8498,3247,3.4220183,7,.0031367,.0115868,.0019086,.0019268,.0097097,.0020751001,.0017681,.0016294,.0023643,.0035312001,.0120182,.0035869,.0038982001,.0028506999,.0025977001,.0020502,.0043922998,.0041311001,.0030221001,.0030135999,.0027101999,.0019950001,.0021373001,.0024546999,.0045389999,0,0,0,0,0,0,5.4651292e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323523.91,975476.13,.24905613,.30000001
Outlander,Mitsubishi,Mitshubishi Group,2015,1279900,1042273.8,2,146,7.5,215,591,SUV,?,16294,1,0,0,0,0,.25,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,.0016294,.095033899,-6.3196855,.064016998,.025452614,-3.6709368,43,0,41,2756,0,2610,187,0,179.5,4183,0,3968,12551,0,11960,28.5,10.5,1968,496,117.8,54.199997,2738,1015,8310,3059,3.3721707,8,.0031367,.0115868,.0019086,.0019268,.0097097,.0020751001,.0017681,.0016294,.0023643,.0035312001,.0120182,.0035869,.0038982001,.0028506999,.0025977001,.0020502,.0043922998,.0041311001,.0030221001,.0030135999,.0027101999,.0019950001,.0021373001,.0024546999,.0045389999,0,0,0,0,0,0,0,5.0386668e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323379.19,956520.81,.25265974,.30000001
on-do,Datsun,Renault Group,2015,493000,401469.63,1.6,87,7,174,530,sedan,Russia,23643,0,0,1,0,1,0,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,.0023643,.095033899,-5.9474154,.064016998,.036932379,-3.2986667,43,16,25.4,2756,951,1718,187,75.5,104.5,4183,1705,2304,12551,4432,7589,28.9,10.9,2027,555,118.3,54.699997,2779,1056,8371,3120,1.297958,9,.0031367,.0115868,.0019086,.0019268,.0097097,.0020751001,.0017681,.0016294,.0023643,.0035312001,.0120182,.0035869,.0038982001,.0028506999,.0025977001,.0020502,.0043922998,.0041311001,.0030221001,.0030135999,.0027101999,.0019950001,.0021373001,.0024546999,.0045389999,0,0,0,0,0,0,0,0,7.2939006e-09,-8.3273589e-11,-7.4986614e-11,-2.2380179e-11,-2.4322513e-11,-1.7786718e-11,-1.6208146e-11,-1.2792062e-11,-1.0358025e-10,-9.7420579e-11,-7.1267874e-11,0,0,0,0,0,0,350487.34,142512.66,.71092767,0
4x4,Lada,Renault Group,2015,435000,354237.91,1.7,83,9.9,205,265,SUV,Russia,35312,1,0,0,0,1,0,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,.0035312001,.095033899,-5.5462599,.031016901,.11384761,-2.1728945,43,15.900001,25.4,2756,955,1718,187,72.599998,104.5,4183,1674,2304,12551,4697,7589,10.8,28.799999,559,2031,51.799999,115.4,1025,2748,3385,8636,1.1439174,10,.0031367,.0115868,.0019086,.0019268,.0097097,.0020751001,.0017681,.0016294,.0023643,.0035312001,.0120182,.0035869,.0038982001,.0028506999,.0025977001,.0020502,.0043922998,.0041311001,.0030221001,.0030135999,.0027101999,.0019950001,.0021373001,.0024546999,.0045389999,0,0,0,0,0,0,0,0,-2.2032645e-11,1.0755390e-08,-7.5449996e-10,-2.2518479e-10,-2.4472815e-10,-1.7896631e-10,-1.6308305e-10,-1.2871111e-10,-4.0931349e-11,-3.8497257e-11,-2.8162609e-11,0,0,0,0,0,0,392429.22,42570.781,.90213615,0
Granta,Lada,Renault Group,2015,331600,270035.16,1.6,82,7.4,160,520,sedan,Russia,120182,0,0,1,0,1,0,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,.0120182,.095033899,-4.3214755,.031016901,.38747263,-.94811004,43,16,25.4,2756,956,1718,187,75.099998,104.5,4183,1719,2304,12551,4442,7589,10.9,28.9,560,2032,54.299999,117.9,1070,2793,3130,8381,.86458004,11,.0031367,.0115868,.0019086,.0019268,.0097097,.0020751001,.0017681,.0016294,.0023643,.0035312001,.0120182,.0035869,.0038982001,.0028506999,.0025977001,.0020502,.0043922998,.0041311001,.0030221001,.0030135999,.0027101999,.0019950001,.0021373001,.0024546999,.0045389999,0,0,0,0,0,0,0,0,-7.4986614e-11,-1.1199625e-10,3.4791853e-08,-7.6640116e-10,-8.3291568e-10,-6.0909972e-10,-5.5504207e-10,-4.3805953e-10,-1.3930707e-10,-1.3102280e-10,-9.5849530e-11,0,0,0,0,0,0,385680.31,-54080.313,1.163089,0
Kalina,Lada,Renault Group,2015,447800,364661.47,1.6,87,7,145,355,universal,Russia,35869,0,0,0,1,1,0,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,.0035869,.095033899,-5.5306091,.031016901,.1156434,-2.157244,43,16,25.4,2756,951,1718,187,75.5,104.5,4183,1734,2304,12551,4607,7589,10.9,28.9,555,2027,54.700001,118.3,1085,2808,3295,8546,1.1775117,12,.0031367,.0115868,.0019086,.0019268,.0097097,.0020751001,.0017681,.0016294,.0023643,.0035312001,.0120182,.0035869,.0038982001,.0028506999,.0025977001,.0020502,.0043922998,.0041311001,.0030221001,.0030135999,.0027101999,.0019950001,.0021373001,.0024546999,.0045389999,0,0,0,0,0,0,0,0,-2.2380179e-11,-3.3425918e-11,-7.6640116e-10,1.0921490e-08,-2.4858840e-10,-1.8178926e-10,-1.6565546e-10,-1.3074135e-10,-4.1576981e-11,-3.9104497e-11,-2.8606837e-11,0,0,0,0,0,0,385680.28,62119.719,.861278,0
Largus,Lada,Renault Group,2015,496000,403912.66,1.6,84,8.199999999999999,145,560,universal,Russia,38982,0,0,0,1,1,0,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,.0038982001,.095033899,-5.4473825,.031016901,.12567987,-2.0740173,43,16,25.4,2756,954,1718,187,74.300003,104.5,4183,1734,2304,12551,4402,7589,10.9,28.9,558,2030,53.5,117.1,1085,2808,3090,8341,1.3038485,13,.0031367,.0115868,.0019086,.0019268,.0097097,.0020751001,.0017681,.0016294,.0023643,.0035312001,.0120182,.0035869,.0038982001,.0028506999,.0025977001,.0020502,.0043922998,.0041311001,.0030221001,.0030135999,.0027101999,.0019950001,.0021373001,.0024546999,.0045389999,0,0,0,0,0,0,0,0,-2.4322513e-11,-3.6326886e-11,-8.3291563e-10,-2.4858840e-10,1.1847771e-08,-1.9756639e-10,-1.8003236e-10,-1.4208813e-10,-4.5185369e-11,-4.2498303e-11,-3.1089568e-11,0,0,0,0,0,0,385680.31,110319.69,.77758127,0
Priora,Lada,Renault Group,2015,446300,363439.97,1.6,98,6.9,165,430,sedan,Russia,28507,0,0,1,0,1,0,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,.0028506999,.095033899,-5.7603331,.031016901,.091907956,-2.3869677,43,16,25.4,2756,940,1718,187,75.599998,104.5,4183,1714,2304,12551,4532,7589,10.9,28.9,544,2016,54.799999,118.4,1065,2788,3220,8471,1.1744345,14,.0031367,.0115868,.0019086,.0019268,.0097097,.0020751001,.0017681,.0016294,.0023643,.0035312001,.0120182,.0035869,.0038982001,.0028506999,.0025977001,.0020502,.0043922998,.0041311001,.0030221001,.0030135999,.0027101999,.0019950001,.0021373001,.0024546999,.0045389999,0,0,0,0,0,0,0,0,-1.7786718e-11,-2.6565352e-11,-6.0909972e-10,-1.8178926e-10,-1.9756641e-10,8.7172003e-09,-1.3165519e-10,-1.0390710e-10,-3.3043436e-11,-3.1078421e-11,-2.2735373e-11,0,0,0,0,0,0,385680.28,60619.719,.8641727,0
Almera,Nissan,Renault Group,2015,626000,509776.84,1.6,102,7.2,160,500,sedan,Russia,25977,0,0,1,0,1,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,.0025977001,.095033899,-5.853271,.064016998,.040578287,-3.2045221,43,16,25.4,2756,936,1718,187,75.300003,104.5,4183,1719,2304,12551,4462,7589,28.9,10.9,2012,540,118.10001,54.499996,2793,1070,8401,3150,1.6477314,15,.0031367,.0115868,.0019086,.0019268,.0097097,.0020751001,.0017681,.0016294,.0023643,.0035312001,.0120182,.0035869,.0038982001,.0028506999,.0025977001,.0020502,.0043922998,.0041311001,.0030221001,.0030135999,.0027101999,.0019950001,.0021373001,.0024546999,.0045389999,0,0,0,0,0,0,0,0,-6.1259574e-11,-9.1494236e-11,-8.2389179e-11,-2.4589518e-11,-2.6723594e-11,-1.9542595e-11,8.0078957e-09,-1.4054874e-11,-1.1380553e-10,-1.0703779e-10,-7.8303329e-11,0,0,0,0,0,0,352649,273351,.56333709,0
X-trail,Nissan,Renault Group,2015,1409000,1147405.1,2,144,8.300000000000001,210,497,SUV,Russia,20502,1,0,0,0,1,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,.0020502,.095033899,-6.0899601,.064016998,.03202587,-3.4412112,43,15.6,25.4,2756,894,1718,187,74.199997,104.5,4183,1669,2304,12551,4465,7589,28.5,10.5,1970,498,117,53.399998,2743,1020,8404,3153,3.7107477,16,.0031367,.0115868,.0019086,.0019268,.0097097,.0020751001,.0017681,.0016294,.0023643,.0035312001,.0120182,.0035869,.0038982001,.0028506999,.0025977001,.0020502,.0043922998,.0041311001,.0030221001,.0030135999,.0027101999,.0019950001,.0021373001,.0024546999,.0045389999,0,0,0,0,0,0,0,0,-4.8348298e-11,-7.2210599e-11,-6.5024555e-11,-1.9406947e-11,-2.1091238e-11,-1.5423732e-11,-1.4054874e-11,6.3313208e-09,-8.9819492e-11,-8.4478140e-11,-6.1799857e-11,0,0,0,0,0,0,352191.19,1056808.8,.24995826,0
Duster,Renault,Renault Group,2015,689000,561080.31,1.6,114,7.4,205,475,SUV,Russia,43923,1,0,0,0,1,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,.0043922998,.095033899,-5.3280444,.064016998,.068611465,-2.6792955,43,16,25.4,2756,924,1718,187,75.099998,104.5,4183,1674,2304,12551,4487,7589,28.9,10.9,2000,528,117.9,54.299995,2748,1025,8426,3175,1.8102944,17,.0031367,.0115868,.0019086,.0019268,.0097097,.0020751001,.0017681,.0016294,.0023643,.0035312001,.0120182,.0035869,.0038982001,.0028506999,.0025977001,.0020502,.0043922998,.0041311001,.0030221001,.0030135999,.0027101999,.0019950001,.0021373001,.0024546999,.0045389999,0,0,0,0,0,0,0,0,-1.0358025e-10,-1.5470228e-10,-1.3930707e-10,-4.1576981e-11,-4.5185369e-11,-3.3043436e-11,-3.0110830e-11,-2.3764568e-11,1.3461463e-08,-1.8098396e-10,-1.3239855e-10,0,0,0,0,0,0,350487.34,338512.66,.50868988,0
Logan,Renault,Renault Group,2015,534000,434857.59,1.6,82,7.2,155,510,sedan,Russia,41311,0,0,1,0,1,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,.0041311001,.095033899,-5.3893538,.064016998,.064531304,-2.7406049,43,16,25.4,2756,956,1718,187,75.300003,104.5,4183,1724,2304,12551,4452,7589,28.9,10.9,2032,560,118.10001,54.499996,2798,1075,8391,3140,1.4034119,18,.0031367,.0115868,.0019086,.0019268,.0097097,.0020751001,.0017681,.0016294,.0023643,.0035312001,.0120182,.0035869,.0038982001,.0028506999,.0025977001,.0020502,.0043922998,.0041311001,.0030221001,.0030135999,.0027101999,.0019950001,.0021373001,.0024546999,.0045389999,0,0,0,0,0,0,0,0,-9.7420579e-11,-1.4550250e-10,-1.3102280e-10,-3.9104497e-11,-4.2498303e-11,-3.1078421e-11,-2.8320209e-11,-2.2351346e-11,-1.8098396e-10,1.2671705e-08,-1.2452511e-10,0,0,0,0,0,0,350487.34,183512.66,.65634334,0
Sandero,Renault,Renault Group,2015,419000,341208.47,1.1,75,6,155,320,hatchback,Russia,30221,0,1,0,0,1,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,.0030221001,.095033899,-5.7019453,.064016998,.047207776,-3.0531967,43,16.5,25.4,2756,963,1718,187,76.5,104.5,4183,1724,2304,12551,4642,7589,29.4,11.4,2039,567,119.3,55.699997,2798,1075,8581,3330,1.1024053,19,.0031367,.0115868,.0019086,.0019268,.0097097,.0020751001,.0017681,.0016294,.0023643,.0035312001,.0120182,.0035869,.0038982001,.0028506999,.0025977001,.0020502,.0043922998,.0041311001,.0030221001,.0030135999,.0027101999,.0019950001,.0021373001,.0024546999,.0045389999,0,0,0,0,0,0,0,0,-7.1267874e-11,-1.0644213e-10,-9.5849530e-11,-2.8606837e-11,-3.1089568e-11,-2.2735373e-11,-2.0717606e-11,-1.6351094e-11,-1.3239854e-10,-1.2452511e-10,9.3033954e-09,0,0,0,0,0,0,350487.34,68512.656,.83648533,0
Camry,Toyota,Toyota Group,2015,1407000,1145776.5,2,150,7.2,160,506,sedan,Russia,30136,0,0,1,0,1,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,.0030135999,.095033899,-5.704762,.064016998,.047074996,-3.0560133,43,2,39,2756,146,2460,187,7.6999998,172.10001,4183,197,3826,12551,506,11539,28.5,10.5,1964,492,118.10001,54.499996,2793,1070,8395,3144,3.7019033,20,.0031367,.0115868,.0019086,.0019268,.0097097,.0020751001,.0017681,.0016294,.0023643,.0035312001,.0120182,.0035869,.0038982001,.0028506999,.0025977001,.0020502,.0043922998,.0041311001,.0030221001,.0030135999,.0027101999,.0019950001,.0021373001,.0024546999,.0045389999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2774837e-09,-8.1464668e-11,0,0,0,0,327707,1079293,.23291187,0
Rav 4,Toyota,Toyota Group,2015,1288000,1048870,2,146,7.7,197,506,SUV,Japan,27102,1,0,0,0,0,.25,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,.0027101999,.095033899,-5.8108749,.064016998,.042335629,-3.1621263,43,2,39,2756,150,2460,187,7.1999998,172.10001,4183,160,3826,12551,506,11539,28.5,10.5,1968,496,117.60001,53.999996,2756,1033,8395,3144,3.3898382,21,.0031367,.0115868,.0019086,.0019268,.0097097,.0020751001,.0017681,.0016294,.0023643,.0035312001,.0120182,.0035869,.0038982001,.0028506999,.0025977001,.0020502,.0043922998,.0041311001,.0030221001,.0030135999,.0027101999,.0019950001,.0021373001,.0024546999,.0045389999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.1464668e-11,8.3516563e-09,0,0,0,0,327707.03,960293,.25443092,.30000001
Patriot,Uaz,UAZ,2015,699000,569223.69,2.7,128,11.5,210,1200,SUV,Russia,19950,1,0,0,0,1,0,8,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,.0019950001,.095033899,-6.1172533,.031016901,.064319775,-2.7438881,43,4.7683717e-08,40.299999,2756,0,2628,187,0,175.5,4183,0,3973,12551,0,11351,9.8000002,27.799999,514,1986,50.200001,113.8,1020,2743,2450,7701,1.8409908,22,.0031367,.0115868,.0019086,.0019268,.0097097,.0020751001,.0017681,.0016294,.0023643,.0035312001,.0120182,.0035869,.0038982001,.0028506999,.0025977001,.0020502,.0043922998,.0041311001,.0030221001,.0030135999,.0027101999,.0019950001,.0021373001,.0024546999,.0045389999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1308922e-09,0,0,0,325401.25,373598.75,.46552396,0
